WTG ID,X UTM 18N [m],Y UTM 18N [m],Bathymetry [m MSL],Weibull A 150m MSL [m/s],Weibull k 150m MSL,Latitude [°],Longitude [°],Soil Type,Profile,Paleo
USA-NYB-CBI-48,685863.7648,4429492.562,-51,10.68403053,2.15794754,39.9951806,-72.82282703,HN-2,B,FALSE
USA-NYB-CBI-49,683664.0222,4427918.131,-52,10.68362713,2.159665823,39.98148635,-72.84902201,HN-2,A,TRUE
USA-NYB-CBI-50,683653.8121,4429478.097,-51,10.68362713,2.159665823,39.99553366,-72.84870076,HN-2,A,TRUE
USA-NYB-CBI-51,681464.2796,4426343.7,-51,10.68166542,2.164558887,39.96778587,-72.87520667,HN-2,A,TRUE
USA-NYB-CBI-52,692524.2531,4424856.055,-54,10.68716621,2.148778677,39.95194735,-72.74623549,HN-2,B,FALSE
USA-NYB-CBI-53,692534.4632,4423296.088,-54,10.678689,2.146939039,39.9379008,-72.7465771,HN-2,B,FALSE
USA-NYB-CBI-54,692554.8834,4420176.155,-55,10.67950821,2.146281481,39.90980758,-72.74725948,HN-2,B,FALSE
USA-NYB-CBI-55,694734.2057,4424870.519,-55,10.68596745,2.147080898,39.95157187,-72.7203798,HN-2,B,FALSE
USA-NYB-CBI-56,694744.4158,4423310.553,-55,10.68155766,2.146109104,39.93752555,-72.72072668,HN-2,B,FALSE
USA-NYB-CBI-58,694754.6259,4421750.586,-56,10.67826176,2.14670825,39.92347918,-72.72107329,HN-2,B,FALSE
USA-NYB-CBI-59,694764.836,4420190.619,-57,10.67826176,2.14670825,39.90943277,-72.72141962,HN-2,B,FALSE
USA-NYB-CBI-60,696944.1584,4424884.983,-56,10.68688393,2.14712286,39.95119063,-72.69452466,HN-2,B,FALSE
USA-NYB-CBI-61,696954.3685,4423325.017,-56,10.67974377,2.143538713,39.93714453,-72.69487683,HN-2,B,FALSE
USA-NYB-CBI-62,696964.5786,4421765.05,-57,10.68028831,2.147489071,39.92309839,-72.69522871,HN-2,B,FALSE
USA-NYB-CBI-63,696974.7887,4420205.084,-56,10.68028831,2.147489071,39.90905222,-72.69558031,HN-2,B,FALSE
USA-NYB-CBI-64,699154.1111,4424899.448,-56,10.68923378,2.146001577,39.95080363,-72.66867009,HN-2,B,FALSE
USA-NYB-CBI-65,699164.3212,4423339.481,-56,10.6850872,2.144436121,39.93675775,-72.66902754,HN-2,B,FALSE
USA-NYB-CBI-66,699174.5313,4421779.515,-56,10.67962265,2.146832466,39.92271185,-72.6693847,HN-2,B,FALSE
USA-NYB-CBI-67,701364.0637,4424913.912,-56,10.69398785,2.145444632,39.95041086,-72.64281609,HN-2,B,FALSE
USA-NYB-CBI-69,701374.2738,4423353.946,-56,10.68959999,2.144463301,39.93636522,-72.64317882,HN-2,B,FALSE
USA-NYB-CBI-70,701384.4839,4421793.979,-55,10.68539524,2.146004915,39.92231954,-72.64354126,HN-2,B,FALSE
USA-NYB-CBI-71,703574.0164,4424928.376,-57,10.69484329,2.142540932,39.95001232,-72.61696267,HN-2,B,FALSE
USA-NYB-CBI-72,690334.7206,4421721.657,-55,10.68085861,2.14838028,39.92422348,-72.77276411,HN-2,B,FALSE
USA-NYB-CBI-73,690344.9307,4420161.691,-55,10.68085861,2.14838028,39.91017664,-72.77309989,HN-2,B,FALSE
USA-NYB-CBI-74,688104.3477,4424827.126,-53,10.68699741,2.153431416,39.95268101,-72.79794854,HN-2,B,FALSE
USA-NYB-CBI-75,688114.5578,4423267.16,-53,10.68379211,2.152951002,39.93863403,-72.79827957,HN-2,B,FALSE
USA-NYB-CBI-76,688124.7679,4421707.193,-54,10.68499947,2.152475595,39.92458699,-72.79861034,HN-2,B,FALSE
USA-NYB-CBI-77,688134.978,4420147.226,-54,10.68499947,2.152475595,39.91053993,-72.79894084,HN-2,B,FALSE
USA-NYB-CBI-78,685894.3951,4424812.662,-52,10.68529129,2.155317545,39.9530392,-72.82380586,HN-2,A,TRUE
USA-NYB-CBI-79,685904.6052,4423252.695,-53,10.68378353,2.153778315,39.93899199,-72.82413162,HN-2,B,FALSE
USA-NYB-CBI-80,685914.8153,4421692.729,-53,10.6850729,2.154615164,39.92494475,-72.8244571,HN-2,B,FALSE
USA-NYB-CBI-81,683684.4424,4424798.198,-52,10.68761921,2.158344746,39.95339162,-72.84966372,HN-2,A,TRUE
USA-NYB-CBI-82,681474.4897,4424783.733,-51,10.68166542,2.164558887,39.95373827,-72.8755221,HN-2,A,TRUE
